Response ID,gender_core,age_core,entity_tenure - Months,conditions_rate_core,safety_core,pressure_to_work_core,factory_recommend_tf_core
R_cibpcyE3EoutUZm,1,24,2,5,5,,1
R_kqeiltynEZN0ufR,1,28,3,5,5,,1
R_fHsmLybytm6BAgp,0,28,3,5,5,,1
R_jzeRNtE14EHJk7R,0,28,3,5,5,,1
R_7BtmqyAlk4Ya1Ku,0,23,4,4,5,,1
R_hsU6AxR411sjene,0,30,4,5,5,,1
R_8IpNOHOFI0FbSHu,0,22,4,5,5,,1
R_bnGr4xRSsyRXtki,0,26,3,5,5,,1
R_f4ZvjBuXhQbLqmZ,0,22,3,5,5,,1
R_5EXvt1J0iMLWIw9,0,23,3,5,5,,1
R_8ppkkkSp7e2bGVC,0,24,2,5,5,,1
R_ntBtEFQhFDtRUIQ,0,25,3,5,5,,1
R_cRThZOW4NdvVNpC,0,28,4,5,5,,1
R_551gkXKNz2tcbe3,0,25,4,5,5,,1
R_5Mn1Bu0ZyCq0zOv,1,21,36,3,3,3,1
R_jBrPsyAKCzmkKCo,1,34,48,3,4,3,1
R_0tGYms3IOFdGiqV,1,18,24,3,3,4,1
R_kDVasQ5Ksu24p7H,1,24,24,2,3,3,0
R_9oulDBGB9UelcPi,1,22,36,3,4,3,1
R_2J7rHmFcftAmlPJ,0,19,48,3,3,3,1
R_g6cDdNEznzDH940,0,18,12,,,3,0
R_aWTEPvR1y3iwUEk,0,44,36,3,4,5,1
R_aGR9FEvVtszFwJX,0,21,24,3,3,3,1
R_odtKMac05ClinMf,0,18,24,2,3,3,0
R_fPZjA6jdm0yiuqD,1,19,24,4,4,2,1
R_l0UsEjjXiJeTW8q,1,23,24,3,,3,1
R_hgeP2xLaiy6o5rq,1,32,36,3,3,3,1
R_fGflD2eKu9lEu8v,0,18,0,4,3,3,1
R_eXeA990fox76s3T,0,35,12,4,4,3,1
R_1SRjsJRseX5XuBm,0,21,24,4,3,3,1
R_8NeXF9m7THlmgFK,0,45,36,3,4,3,1
R_epzuWpqbQ6jdsmQ,0,19,12,4,3,3,1
R_m6UDbwKa5dOHcCI,0,37,24,4,3,3,1
R_jxaYhoZ64GBL4lk,0,27,12,4,3,3,1
R_4Mr7Nrm5fLrS1rh,1,19,12,4,3,3,1
R_gmXknfJJ2NtWyu2,1,27,5,4,3,3,1
R_1LQ2d2TbjDUDas6,1,18,4,3,3,3,1
R_1rNeAPTgtJ0gIfO,1,29,6,3,4,4,1
R_iogBbtSeCwPZ3aV,1,18,2,4,3,3,1
R_6WkDA8lQMGVteQ0,1,26,6,4,4,3,1
R_ob0m1ZujkGrifRE,1,19,1,3,4,4,1
R_1fmvARtRUkC6gjZ,1,25,12,3,4,4,1
R_m3PBHjnIWGMo7ld,1,27,12,4,3,3,1
R_9rXI3D7OpF1lzfW,1,18,2,4,3,3,1
R_4yTXqEwKFPUbFd7,1,36,24,3,4,3,1
R_frsYJ9sh4qbmi8R,1,19,2,4,4,4,1
R_nPuYgEmLKhuahBP,1,23,2,4,4,3,1
R_3XAxuo3sBFZ7qji,0,29,48,4,3,3,1
R_jmv6epdGmhwWh18,0,18,24,3,3,3,
R_11wifCJ6YY3morm,0,22,24,4,4,3,1
R_b1vryXOvlSnryX7,0,18,36,3,3,3,1
R_6IOo0oMkmvDsrYK,0,26,24,3,4,3,1
R_dnosaK5igpfE0Ty,0,23,48,3,3,3,1
R_kW4iSdi1wxPu8Sf,0,21,48,,,3,0
R_5yio5BB4BLBp0AA,0,18,0,3,3,2,1
R_7oGRvnP83VlqWHG,0,24,12,3,3,2,1
R_bqH8ZWmi8289qlN,0,43,24,3,4,3,1
R_k18meqdGAJrBCBY,0,22,6,3,3,2,1
R_50OZr1DWBH6V7JX,0,21,2,3,3,3,1
R_mztseNkPBaxzx5i,0,19,2,3,3,4,1
R_71KFW6FkZkA4Au2,0,19,2,3,3,3,
R_esI4oMAcHyGoMUg,0,18,3,3,4,3,1
R_fXs35NNcSIvoJL4,0,22,6,4,3,3,1
R_knEEVKv8Am2CjWJ,0,25,15,4,4,3,1
R_i2XWxoOqPOJKObd,0,21,3,4,3,3,1
R_9E8weBanyEilHCT,0,18,3,3,3,3,1
R_h7C6bxO1xceknt7,0,27,36,3,4,3,1
R_awM2at7bQ1w7Iug,0,19,2,4,4,3,1
R_1m8AjMsRsKjGEXO,1,27,2,4,3,3,1
R_b4hCVNL7WDeyQaE,1,19,2,3,4,3,1
R_bF1TQtTMJ0bSp2y,0,27,12,4,4,4,1
R_jsl11rlaqioxyQk,0,33,2,4,3,3,1
R_25FniX4MyXh665E,0,22,3,4,4,4,1
R_hf8u3d0BMuUi2Xy,0,23,3,4,4,3,1
R_gPQmIm6bkbmOBZG,0,27,4,4,3,4,1
R_6mx0pstHxPzWMBW,0,25,2,4,4,3,1
R_ji8RgKHV7opaLnw,0,22,2,3,4,4,1
R_7SZyxOK0J3uASdE,0,21,4,4,4,4,1
R_4YCk8doB8kl95Hm,0,21,6,4,4,4,1
R_fz3nHRtNFF1f7Ye,0,18,4,3,4,4,1
R_4j4lhmghmY1Lo0D,0,21,4,4,4,4,1
