Response_ID,gender_core,age_core,education_level_core,worker_type_core,understand_contract,entity_tenure_total_months,workplace_satis_core,trust_leadership_core,living_wage_tf_core,conditions_rate_core,safety_core,accident_last_year,covid_safety_measures_core,return_next_season_core,pressure_to_work_core,management_complaint_treatment_core,leadership_feedback_core,factory_recommend_tf_score
R_2tAnxopGDzWqZN3,Woman,22,Middle School,Permanent,Yes,9,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_3IaFjsHyvK47hQp,Man,19,High School,Permanent,Yes,8,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_272LMthElD6XJm5,Man,45,Middle School,Permanent,Yes,46,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,0
R_1eKvDAoH0du6QlR,Man,22,High School,Seasonal OR temporary,Yes,7,Somewhat Satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_1OH2LKMBjT174wL,Man,19,Middle School,Permanent,Yes,4,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_2QEAsNfoRePxbMm,Man,22,Middle School,Permanent,Yes,3,Very satisfied,Yes,No,Somewhat good,Strongly agree,Yes,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_31dvQnI6T08vM7X,Man,23,No school,Seasonal OR temporary,No,9,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_23VNnmLlAamKKoR,Woman,40,Middle School,Seasonal OR temporary,Yes,2,Very satisfied,Yes,No,Very good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_2v7ZCokgLGRbTNC,Man,30,Elementary School,Permanent,Yes,1,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_22YpQ01zU3O2t3b,Man,40,Elementary School,Permanent,Don't know,120,Very satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Don't know,No,1
